image_name,hexadecimal_value,decimal_value
train_000000.png,0x2c8,712
train_000001.png,0x7c0,1984
train_000002.png,0xe,14
train_000003.png,0x2,2
train_000004.png,0x24,36
train_000005.png,0x24,36
train_000006.png,0x45,69
train_000007.png,0x55,85
train_000008.png,0x54,84
train_000009.png,0x8,8
train_000010.png,0x48,72
train_000011.png,0x204,516
train_000012.png,0xc88,3208
train_000013.png,0xf03,3843
train_000014.png,0xb,11
train_000015.png,0x4d,77
train_000016.png,0xf,15
train_000017.png,0x5fc,1532
train_000018.png,0x15,21
train_000019.png,0xa,10
train_000020.png,0xf,15
train_000021.png,0xb74,2932
train_000022.png,0xd,13
train_000023.png,0x0,0
train_000024.png,0xc,12
train_000025.png,0x6,6
train_000026.png,0xfb5,4021
train_000027.png,0xeca,3786
train_000028.png,0x44,68
train_000029.png,0xfd,253
train_000030.png,0x469,1129
train_000031.png,0xe5,229
train_000032.png,0x8,8
train_000033.png,0x8,8
train_000034.png,0xd5,213
train_000035.png,0x4,4
train_000036.png,0x45,69
train_000037.png,0x5,5
train_000038.png,0xed3,3795
train_000039.png,0x48,72
train_000040.png,0x57,87
train_000041.png,0x3,3
train_000042.png,0xab,171
train_000043.png,0x7e,126
train_000044.png,0x5f2,1522
train_000045.png,0xcf8,3320
train_000046.png,0xd9,217
train_000047.png,0x3b7,951
train_000048.png,0x6,6
train_000049.png,0xc24,3108
train_000050.png,0x48,72
train_000051.png,0x32,50
train_000052.png,0x822,2082
train_000053.png,0x4d3,1235
train_000054.png,0x4,4
train_000055.png,0x1f,31
train_000056.png,0x11,17
train_000057.png,0x8,8
train_000058.png,0x98b,2443
train_000059.png,0x8,8
train_000060.png,0xe5,229
train_000061.png,0x7,7
train_000062.png,0xc3,195
train_000063.png,0x0,0
train_000064.png,0x9,9
train_000065.png,0xa,10
train_000066.png,0x372,882
train_000067.png,0x7f,127
train_000068.png,0x4e,78
train_000069.png,0xb,11
train_000070.png,0x7,7
train_000071.png,0x2,2
train_000072.png,0x9ce,2510
train_000073.png,0x2e,46
train_000074.png,0x6,6
train_000075.png,0x9,9
train_000076.png,0x3f,63
train_000077.png,0x4,4
train_000078.png,0x716,1814
train_000079.png,0x6,6
train_000080.png,0xc0,192
train_000081.png,0x7,7
train_000082.png,0x2,2
train_000083.png,0x90,144
train_000084.png,0x2,2
train_000085.png,0x94,148
train_000086.png,0x69,105
train_000087.png,0x196,406
train_000088.png,0xee8,3816
train_000089.png,0x6,6
train_000090.png,0x388,904
train_000091.png,0x2e,46
train_000092.png,0xe,14
train_000093.png,0xff,255
train_000094.png,0xe,14
