arch=crnn device=cuda params=542,226 train_samples=3000 val_samples=400 epochs=30 batch_size=64 lr=0.001 seed=42
epoch 001/30 | train_ctc_loss=3.2027 | val_exact_match_acc=0.0000 | lr=0.000997 | time=1.4s
epoch 002/30 | train_ctc_loss=1.5754 | val_exact_match_acc=0.0000 | lr=0.000989 | time=0.9s
epoch 003/30 | train_ctc_loss=1.5006 | val_exact_match_acc=0.0000 | lr=0.000976 | time=0.9s
epoch 004/30 | train_ctc_loss=1.4197 | val_exact_match_acc=0.0425 | lr=0.000957 | time=0.9s
epoch 005/30 | train_ctc_loss=1.2762 | val_exact_match_acc=0.1350 | lr=0.000933 | time=1.0s
epoch 006/30 | train_ctc_loss=0.9357 | val_exact_match_acc=0.1825 | lr=0.000905 | time=0.9s
epoch 007/30 | train_ctc_loss=0.3031 | val_exact_match_acc=0.6300 | lr=0.000872 | time=0.9s
epoch 008/30 | train_ctc_loss=0.0894 | val_exact_match_acc=0.9225 | lr=0.000835 | time=0.9s
epoch 009/30 | train_ctc_loss=0.0327 | val_exact_match_acc=0.9425 | lr=0.000794 | time=0.9s
epoch 010/30 | train_ctc_loss=0.0151 | val_exact_match_acc=0.9650 | lr=0.000750 | time=0.9s
epoch 011/30 | train_ctc_loss=0.0078 | val_exact_match_acc=0.9700 | lr=0.000703 | time=1.0s
epoch 012/30 | train_ctc_loss=0.0053 | val_exact_match_acc=0.9700 | lr=0.000655 | time=1.0s
epoch 013/30 | train_ctc_loss=0.0042 | val_exact_match_acc=0.9725 | lr=0.000604 | time=1.0s
epoch 014/30 | train_ctc_loss=0.0036 | val_exact_match_acc=0.9750 | lr=0.000552 | time=1.0s
epoch 015/30 | train_ctc_loss=0.0031 | val_exact_match_acc=0.9700 | lr=0.000500 | time=1.0s
epoch 016/30 | train_ctc_loss=0.0028 | val_exact_match_acc=0.9775 | lr=0.000448 | time=1.0s
epoch 017/30 | train_ctc_loss=0.0025 | val_exact_match_acc=0.9725 | lr=0.000396 | time=1.0s
epoch 018/30 | train_ctc_loss=0.0023 | val_exact_match_acc=0.9725 | lr=0.000345 | time=1.0s
epoch 019/30 | train_ctc_loss=0.0021 | val_exact_match_acc=0.9725 | lr=0.000297 | time=1.0s
epoch 020/30 | train_ctc_loss=0.0020 | val_exact_match_acc=0.9750 | lr=0.000250 | time=0.9s
epoch 021/30 | train_ctc_loss=0.0019 | val_exact_match_acc=0.9725 | lr=0.000206 | time=0.9s
epoch 022/30 | train_ctc_loss=0.0018 | val_exact_match_acc=0.9725 | lr=0.000165 | time=0.9s
epoch 023/30 | train_ctc_loss=0.0018 | val_exact_match_acc=0.9750 | lr=0.000128 | time=0.9s
epoch 024/30 | train_ctc_loss=0.0017 | val_exact_match_acc=0.9775 | lr=0.000095 | time=0.9s
epoch 025/30 | train_ctc_loss=0.0017 | val_exact_match_acc=0.9750 | lr=0.000067 | time=0.9s
epoch 026/30 | train_ctc_loss=0.0016 | val_exact_match_acc=0.9775 | lr=0.000043 | time=0.9s
epoch 027/30 | train_ctc_loss=0.0016 | val_exact_match_acc=0.9750 | lr=0.000024 | time=0.9s
epoch 028/30 | train_ctc_loss=0.0016 | val_exact_match_acc=0.9800 | lr=0.000011 | time=0.9s
epoch 029/30 | train_ctc_loss=0.0016 | val_exact_match_acc=0.9775 | lr=0.000003 | time=0.9s
epoch 030/30 | train_ctc_loss=0.0016 | val_exact_match_acc=0.9775 | lr=0.000000 | time=0.9s
best_val_exact_match_acc=0.9800 saved_to=D:\internship\task\src\..\weights\model_crnn.pt
